                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.50541,                0.59283,                0.83204,                0.96975,                0.89186,                0.94463,                0.85385,                0.43734,                0.40451,                0.80556,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     79,                0.50768,                0.59289,                0.83173,                0.96762,                0.89833,                0.94739,                0.85313,                 0.4383,                0.39854,                0.80611,              5.695e-05,              5.695e-05,              5.695e-05
                     80,                0.49702,                0.57022,                0.83058,                 0.9674,                0.89483,                0.94672,                0.85442,                0.43999,                0.40196,                0.80602,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     81,                0.49528,                0.57275,                 0.8334,                0.97335,                0.89323,                0.95007,                0.85665,                0.43949,                0.39657,                0.80553,                5.2e-05,                5.2e-05,                5.2e-05
                     82,                0.50601,                0.58525,                0.83598,                0.96279,                0.89996,                0.93792,                0.84375,                0.44368,                0.39732,                0.80561,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     83,                0.50429,                0.59389,                0.83497,                0.97486,                0.89088,                0.94706,                0.85591,                0.43486,                0.39359,                0.80492,              4.705e-05,              4.705e-05,              4.705e-05
                     84,                0.49782,                0.57433,                0.83352,                0.97198,                 0.8905,                0.94705,                 0.8543,                0.43752,                0.39838,                0.80489,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     85,                0.51027,                0.58608,                0.83523,                0.96998,                0.89747,                0.95157,                0.85721,                0.44179,                0.39536,                0.80566,               4.21e-05,               4.21e-05,               4.21e-05
                     86,                0.49658,                0.57976,                0.83296,                0.96873,                0.89546,                0.94905,                0.85521,                0.43991,                0.39501,                0.80535,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     87,                 0.4951,                0.56966,                0.83482,                0.97138,                0.89201,                0.94685,                0.85076,                0.44031,                0.39907,                0.80552,              3.715e-05,              3.715e-05,              3.715e-05
                     88,                0.49967,                0.57925,                0.82854,                0.97074,                0.89407,                0.94744,                0.85592,                0.43786,                0.39347,                0.80495,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     89,                0.50468,                  0.585,                0.83479,                0.97046,                0.89382,                0.94595,                0.85449,                0.43984,                0.39304,                0.80534,               3.22e-05,               3.22e-05,               3.22e-05
                     90,                0.50375,                0.57135,                0.83255,                0.95649,                0.90552,                0.94993,                0.85414,                0.43616,                0.39534,                 0.8045,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     91,                0.47789,                0.56658,                0.80912,                0.97469,                0.88552,                0.93091,                 0.8389,                0.45077,                0.44124,                0.80341,              2.725e-05,              2.725e-05,              2.725e-05
                     92,                0.46569,                0.49971,                 0.8166,                0.96524,                0.88436,                0.92042,                0.83017,                0.45063,                0.41399,                0.80315,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     93,                0.46683,                0.47456,                0.80965,                0.96396,                0.89156,                0.92397,                0.83173,                 0.4529,                0.41201,                0.80303,               2.23e-05,               2.23e-05,               2.23e-05
                     94,                0.46109,                0.46627,                0.81357,                0.96175,                0.89193,                0.92863,                0.83631,                0.44479,                0.40979,                0.80191,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     95,                0.45686,                0.45941,                0.81252,                0.96645,                0.89452,                0.93205,                 0.8397,                0.44426,                0.40286,                  0.802,              1.735e-05,              1.735e-05,              1.735e-05
                     96,                0.45482,                0.45664,                0.81521,                0.97058,                 0.8906,                0.93202,                 0.8387,                0.44527,                0.40002,                0.80227,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     97,                0.44509,                 0.4441,                0.80931,                0.96458,                0.89357,                0.92978,                0.83868,                 0.4442,                0.39833,                0.80239,               1.24e-05,               1.24e-05,               1.24e-05
                     98,                0.45056,                0.45103,                0.80933,                0.96297,                0.90171,                0.92961,                0.83998,                 0.4428,                0.39704,                0.80208,              9.925e-06,              9.925e-06,              9.925e-06
                     99,                0.44949,                0.44725,                0.81611,                0.96301,                0.89887,                0.93004,                0.83832,                0.44242,                0.39613,                0.80213,               7.45e-06,               7.45e-06,               7.45e-06
                    100,                0.45558,                0.45031,                0.81006,                0.96238,                0.89956,                0.93005,                0.83968,                0.44283,                0.39535,                0.80198,              4.975e-06,              4.975e-06,              4.975e-06
